id,name,thread 
1569,Page 23,I... can't stand it any longer...I won't tell a soul...promise.So please...)
1570,Page 24 (Black),"And then the screen goes black.The tape was ejected as if it were something dirty being spit out. It fellto the floor and it broke with a crash.第十七章　「不明」「磁気テープ」Chapter 17   ""Nowhere""Magnetic tape"
1571,Page 25,"There is no doubt, someone is eating away at my consciousness.The magnetic tape extends out of the fallen video cassette and wrapsaround my legs.I try to get away, but the tentacles of tape get around my neck, and beginto tighten."
1572,Page 26,"With both hands I try as hard as I can to tear the tape away that istwisted around my neck, but I am halfway passing out and so my hands do nothave the strength to do so.In the light that is reaching my pupils I can faintly detect what appearsto be human figures."
1573,Page 27 (Cult members around Alessa's bed),"They are standing around a bed, with Dahlia on the left, Kaufmann onthe right, and just a bit away from him some people in white coats thatlooks like a doctors. Each of them has troubled looks on their faces, andthey peer at the face of the person lying on the bed."
1574,Page 28,"(Everything is going according to plan.Sheltered in the womb.) (Dahlia)(But it's not done yet.Half the soul is lost.That is why the seed lies dormant.) (Man 1)(And what soul remains captured in that husk, is buried deep down inthe subconscious) (Man 2)"
1575,Page 29,(Are you trying to say it won't work!? That wasn't our agreement!) (Kaufmann)
1576,Page 30,"(No, no. These are just stalling tactics.)If we lend a hand, we will be able to get power.Never fear. The promise shall not be broken.) (Dahlia)"
1577,Page 31,(But the power we can draw now will be very weak; almost nothing.Unless we get the other half of the soul...) (Man 1)
1578,Page 32,"(We'll use a magical spell. Feeling this child's pain, it's sure to come.)(Dahlia)"
1579,Page 33,"(But that will take time...) (Man 2)第十七章　「不明」「消えゆく幻影」Chapter 17   ""Nowhere""The fading illusions"
1580,Page 34 (Black),"And then the illusions fade away.I carefully observe the inside of the room.This room is...I have been here before, I think."
1581,Page 35 (Alessa's hospital room),"The tape which should be tightly wrapped around my throat is gone, andI realize that my own hands are wrapped around my throat.Something is on top of the desk that has been placed in the center of the room.""This isn't the first time I have been here."""
1582,Page 36,When I was here before I was certain that unlike other rooms I had sensedthe warmth and presence of a person in this room.When I looked at the picture on the desk my belief changed.
1583,Page 37 (Picture of Alessa),"Alessa.I try calling out to her.She is the instigator that created this otherworld.However, it would be hard for anyone to forgive the experiment that wascarried out on her body under the pretext of a magical spell."
1584,Page 38 (Alessa's hospital room),"This is where she lived.Her hate spirals out in this cursed wing of the hospital.However, there is no way to prove the reality of it.As all I have is a vague sense of it.第十七章　「不明」「子供部屋」Chapter 17   ""Nowhere""Child's room"
1585,Page 39,"Reflecting in my blank eyes, the room I am standing in begins to change shape.The bed and picture frame from before are gone, and the room transformsinto a completely different one."
1586,Page 40 (Alessa's childhood room),This is a child's room.Stuffed animals and art supplies are scattered about all over.I noticed something.
1587,Page 41,Alessa probably collected these.Butterfly specimens of many different colors are on display.
1588,Page 42,"""...Huh...?""I think I just saw something flash.(Butterfly game)"
1589,Page 43 (Final door),"...I found a key...This key invites me...Had I not been very careful I would not have found it, as itwas hidden behind one of the butterflies."
1590,Page 44,"There is a door in front of me.As I approach it, it seems to edge up to me.As I extend my hand to the knob the door makes a light tapping sound, andbegins opening, as if inviting me into the heart of something evil."
1591,Go to 18-2 if you passed through 15-3 to get here (Ending B),"_______________________________________________________________________________第十八章　「降臨」                             　    　　                  18-1解放へ                          (Alessa with red stained clothes in final area)Chapter 18 ""Descent""To freedom"
1592,Page 1 (Black),"I finally arrived at the deepest level of the otherworld.Inside the door it is wide, and the floor is a metal grating. It is filledwith an evil atmosphere.Additionally, it is accompanied by a strong power that I have not felt before."
1593,Page 2,"The ceiling is too high for me to see.This is a giant space, so large that I cannot tell if I am outside or not."
1594,Page 3,"I carefully walk into the large space, one step at a time.All the answers I seek are probably in this room."
1595,Page 4,"Cybil has arrived here before me, and has her gun readied.There are two people off in the direction that her gun is pointed at."
1596,"Page 5 (Dahlia, Alessa, and Cheryl in final area)",Dahlia and Alessa.It is definitely those two.
1597,Page 6,"""I was shocked to realize the talisman of Metraton was being used.In spite of the lost soul returning at last. Just a little longer and allwould have been for naught."
1598,Page 7,"It's all because of that man.We must be thankful to him.Even though Alessa has been stopped, his little girl has to go. What a pity..."""
1599,Page 8,"""Freeze!""Cybil yelled out loudly, and her trembling finger pulled the trigger.An explosion resounds, and the bullet starts toward the two women."
1600,Page 9,"However, the bullet smashes into an invisible barrier just before it can hitDahlia, and it shatters into pieces.Dahlia smiles as if she is saying ""but of course""."
